id,title,speaker,topics,transcript
0,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']","About 10 years ago, I took on the task to teach global development to Swedish undergraduate students That was after having spent about 20 years, together with African institutions, studying hunger in Africa So I was sort of expected to know a little about the world And I started, in our medical university, Karolinska Institute, an undergraduate course called Global Health But when you get that opportunity, you get a little nervous"
1,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," So I did a pretest when they came And one of the questions from which I learned a lot was this one: ""Which country has the highest child mortality of these five pairs?"" And I put them together so that in each pair of countries, one has twice the child mortality of the other And this means that it's much bigger, the difference, than the uncertainty of the data"
2,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And these were the results of the Swedish students I did it so I got the confidence interval, which is pretty narrow And I got happy, of course — a 18 right answer out of five possible That means there was a place for a professor of international health and for my course (Laughter) But one late night, when I was compiling the report, I really realized my discovery"
3,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," (Laughter) Because the chimpanzee would score half right if I gave them two bananas with Sri Lanka and Turkey They would be right half of the cases But the students are not there The problem for me was not ignorance; it was preconceived ideas I did also an unethical study of the professors of the Karolinska Institute, which hands out the Nobel Prize in Medicine, and they are on par with the chimpanzee there"
4,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," So we did this software, which displays it like this Every bubble here is a country This country over here is China This is India The size of the bubble is the population, and on this axis here, I put fertility rate Because my students, what they said when they looked upon the world, and I asked them, ""What do you really think about the world?"" Well, I first discovered that the textbook was Tintin, mainly"
5,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']","' And 'we' is the Western world and 'them' is the Third World"" ""And what do you mean with 'Western world?'"" I said ""Well, that's long life and small family And 'Third World' is short life and large family"" So this is what I could display here I put fertility rate here — number of children per woman: one, two, three, four, up to about eight children per woman We have very good data since 1962, 1960, about, on the size of families in all countries"
6,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Here, I put life expectancy at birth, from 30 years in some countries, up to about 70 years And in 1962, there was really a group of countries here that were industrialized countries, and they had small families and long lives And these were the developing countries They had large families and they had relatively short lives Now, what has happened since 1962? We want to see the change"
7,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," We stopped the world then This is all UN statistics that have been available Here we go Can you see there? It's China there, moving against better health there, improving there All the green Latin American countries are moving towards smaller families Your yellow ones here are the Arabic countries, and they get longer life, but not larger families The Africans are the green here They still remain here"
8,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," In the '80s here, you have Bangladesh still among the African countries But now, Bangladesh — it's a miracle that happens in the '80s — the imams start to promote family planning, and they move up into that corner And in the '90s, we have the terrible HIV epidemic that takes down the life expectancy of the African countries"
9,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," (Applause) (Applause ends) Let me make a comparison directly between the United States of America and Vietnam 1964: America had small families and long life; Vietnam had large families and short lives And this is what happens The data during the war indicate that even with all the death, there was an improvement of life expectancy By the end of the year, family planning started in Vietnam, and they went for smaller families"
10,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And in the '80s now, they give up Communist planning and they go for market economy, and it moves faster even than social life And today, we have in Vietnam the same life expectancy and the same family size here in Vietnam, 2003, as in United States, 1974, by the end of the war I think we all, if we don't look at the data, we underestimate the tremendous change in Asia, which was in social change before we saw the economic change"
11,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," This is the world distribution of income of people One dollar, 10 dollars or 100 dollars per day There's no gap between rich and poor any longer This is a myth There's a little hump here But there are people all the way And if we look where the income ends up, this is 100 percent of the world's annual income And the richest 20 percent, they take out of that about 74 percent And the poorest 20 percent, they take about two percent"
12,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," We think about aid, like these people here giving aid to these people here But in the middle, we have most of the world population, and they have now 24 percent of the income We heard it in other forms And who are these? Where are the different countries? I can show you Africa This is Africa Ten percent of the world population, most in poverty This is OECD — the rich countries, the country club of the UN And they are over here on this side"
13,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And this is Latin America It has everything on this earth, from the poorest to the richest in Latin America And on top of that, we can put East Europe, we can put East Asia, and we put South Asia And what did it look like if we go back in time, to about 1970? Then, there was more of a hump And most who lived in absolute poverty were Asians The problem in the world was the poverty in Asia"
14,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And the best projection from the World Bank is that this will happen, and we will not have a divided world We'll have most people in the middle Of course it's a logarithmic scale here, but our concept of economy is growth with percent We look upon it as a possibility of percentile increase"
15,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And you have the OECD there, and you have sub-Saharan Africa there, and we take off the Arab states there, coming both from Africa and from Asia, and we put them separately, and we can expand this axis, and I can give it a new dimension here, by adding the social values there, child survival Now I have money on that axis, and I have the possibility of children to survive there In some countries, 99"
16,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And here, it seems, there is a gap between OECD, Latin America, East Europe, East Asia, Arab states, South Asia and sub-Saharan Africa The linearity is very strong between child survival and money But let me split sub-Saharan Africa Health is there and better health is up there I can go here, and I can split sub-Saharan Africa into its countries And when it bursts, the size of each country bubble is the size of the population"
17,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Mauritius was the first country to get away with trade barriers, and they could sell their sugar, they could sell their textiles, on equal terms as the people in Europe and North America There's a huge difference [within] Africa And Ghana is here in the middle In Sierra Leone, humanitarian aid Here in Uganda, development aid Here, time to invest; there, you can go for a holiday"
18,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," I can split South Asia here India's the big bubble in the middle But there's a huge difference between Afghanistan and Sri Lanka I can split Arab states How are they? Same climate, same culture, same religion — huge difference Even between neighbors — Yemen, civil war; United Arab Emirates, money, which was quite equally and well-used Not as the myth is And that includes all the children of the foreign workers who are in the country"
19,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Many people say data is bad There is an uncertainty margin, but we can see the difference here: Cambodia, Singapore The differences are much bigger than the weakness of the data East Europe: Soviet economy for a long time, but they come out after 10 years very, very differently And there is Latin America Today, we don't have to go to Cuba to find a healthy country in Latin America"
20,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Here, we have high-income countries in the OECD And we get the whole pattern here of the world, which is more or less like this And if we look at it, how the world looks, in 1960, it starts to move This is Mao Zedong He brought health to China And then he died And then Deng Xiaoping came and brought money to China, and brought them into the mainstream again"
21,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," But I would like to bring you back to about here, at 1960 I would like to compare South Korea, which is this one, with Brazil, which is this one The label went away for me here And I would like to compare Uganda, which is there I can run it forward, like this And you can see how South Korea is making a very, very fast advancement, whereas Brazil is much slower"
22,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," And to show that, you can put on the way of United Arab Emirates They came from here, a mineral country They cached all the oil; they got all the money; but health cannot be bought at the supermarket You have to invest in health You have to get kids into schooling You have to train health staff You have to educate the population And Sheikh Zayed did that in a fairly good way In spite of falling oil prices, he brought this country up here"
23,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Now, this is, more or less, if you look at the average data of the countries — they are like this That's dangerous, to use average data, because there is such a lot of difference within countries So if I go and look here, we can see that Uganda today is where South Korea was in 1960 If I split Uganda, there's quite a difference within Uganda These are the quintiles of Uganda The richest 20 percent of Ugandans are there"
24,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," If I split South Africa, it's like this And if I go down and look at Niger, where there was such a terrible famine [recently], it's like this The 20 percent poorest of Niger is out here, and the 20 percent richest of South Africa is there, and yet we tend to discuss what solutions there should be in Africa Everything in this world exists in Africa"
25,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," The improvement of the world must be highly contextualized, and it's not relevant to have it on a regional level We must be much more detailed We find that students get very excited when they can use this And even more, policy makers and the corporate sectors would like to see how the world is changing"
26,The best stats you've ever seen,Hans Rosling,"['global issues', 'health']"," Because the data is hidden down in the databases And the public is there, and the internet is there, but we have still not used it effectively All that information we saw changing in the world does not include publicly funded statistics There are some web pages like this, you know, but they take some nourishment down from the databases, but people put prices on them, stupid passwords and boring statistics (Laughter) And this won't work"
